folder,application,sub_application,job_name,memname,description,desc_program,ref_program,ref_datasets
_TRPROD_ALERT_SWITCH,TRPROD,TRPROD_ALERT_SWITCH,TRALCLEA,,DUMMY    = INITIALISE BEM-STATUS-FILE FOR TUR002-CHECK,DUMMY,,
_TRPROD_ALERT_SWITCH,TRPROD,TRPROD_ALERT_SWITCH,TRALWRIT,,DUMMY    = SWITCH TUR002 TO EMAIL none,DUMMY,,
_TRPROD_ALERT_SWITCH,TRPROD,TRPROD_ALERT_SWITCH,TRALCHKB,,DUMMY    = CHECK TUR002-MESSAGES AVAILABLE,DUMMY,,
_TRPROD_ALERT_SWITCH,TRPROD,TRPROD_ALERT_SWITCH,TRALCHKA,,DUMMY    = CHECK TUR002-MESSAGES AVAILABLE,DUMMY,,
_TRPROD_ALERT_SWITCH,TRPROD,TRPROD_ALERT_SWITCH,TRALPAGB,,DUMMY    = TUR002 SWITCH TO ALARMPOINT (SMS),DUMMY,,
_TRPROD_AUTOMATED,TRPROD,TRPROD_AUTOMATED_DBAJOEI,TRAUCOPY,AUCOPY.jcl,MFCMDLNE = MFSCP COPY DATASET FOR DBAJOEI,MFCMDLNE,,
_TRPROD_AUTOMATED,TRPROD,TRPROD_AUTOMATED_DBAJOEI,TRAUJOEI,AUJOEI.jcl,DBAJOEI  = DB2-U PROCEED SQL-STATEMENTS FROM DATASET,DBAJOEI,,
_TRPROD_AUTOMATED,TRPROD,TRPROD_AUTOMATED_DBAJOEI,TRAUST01,AUST01.jcl,RZWRITER = SET VARIABLES FOR DBAJOEI,RZWRITER,,
_TRPROD_AUTOMATED,TRPROD,TRPROD_AUTOMATED_QUERY,TRAUTEPN,AUTEPN.jcl,DSNTEP2  = DB2-U WITH QUERY,DSNTEP2,,
_TRPROD_AUTOMATED,TRPROD,TRPROD_AUTOMATED_QUERY,TRAUTKOV,AUTKOV.jcl,MFCMDLNE = TAKEOVER PROGRAM PACKAGE,MFCMDLNE,,
_TRPROD_AUTOMATED,TRPROD,TRPROD_AUTOMATED_QUERY,TRAUSDPL,AUSDPL.jcl,SCRIPT   = SUBVERSION DEPLOY FOR QUERY TAKEOVER,SCRIPT,,
_TRPROD_AUTOMATED,TRPROD,TRPROD_AUTOMATED_DBAJOSD,TRAUOSD1,AUOSD1.jcl,DBAJOSD  = DB2-U FUER DBAJOSD,DBAJOSD,,
